Score	Deviation	Certification	Comment
スコア	偏差値	パワーカップル認定	コメント
0	~39		片方の年収が低い可能性があります。ここから伸びしろしかありません。
1	40		双方の年収を上げていきましょう。ここから伸びしろしかありません。
2	42		双方の年収を上げていきましょう。ここから伸びしろしかありません。
3	44		双方の年収を上げていきましょう。ここから伸びしろしかありません。
4	46		"基盤は悪くありませんが、まだ“パワーカップルの入口”。
役職・業界選択・年収アップなど、
小さな一歩が大きな差を生む帯域です。"
5	48		"基盤は悪くありませんが、まだ“パワーカップルの入口”。
役職・業界選択・年収アップなど、
小さな一歩が大きな差を生む帯域です。"
6	49		"基盤は悪くありませんが、まだ“パワーカップルの入口”。
役職・業界選択・年収アップなど、
小さな一歩が大きな差を生む帯域です。"
7	49		"基盤は悪くありませんが、まだ“パワーカップルの入口”。
役職・業界選択・年収アップなど、
小さな一歩が大きな差を生む帯域です。"
8	49		"基盤は悪くありませんが、まだ“パワーカップルの入口”。
役職・業界選択・年収アップなど、
小さな一歩が大きな差を生む帯域です。"
9	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
10	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
11	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
12	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
13	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
14	50		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
15	51		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
16	51		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
17	51		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
18	51		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
19	51		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
20	52		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
21	52		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
22	52		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
23	52		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
24	52		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
25	53		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
26	53		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
27	53		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
28	53		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
29	53		"世帯として十分に健闘しています。“あと一歩”でパワーカップル認定。
どちらかの年収または役職アップが鍵です。"
30	53	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
31	54	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
32	54	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
33	54	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
34	54	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
35	54	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
36	55	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
37	55	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
38	55	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
39	55	準パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
40	55	パワーカップル	"優れた世帯構造です。
どちらも一定のキャリアを築けており、
このまま進めばパワーカップルの仲間入りは目前です。"
41	60	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
42	60	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
43	60	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
44	60	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
45	60	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
46	61	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
47	61	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
48	61	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
49	61	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
50	61	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
51	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
52	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
53	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
54	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
55	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
56	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
57	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
58	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
